============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  127  1 .9093876E+06   2000131E-02  .3177E+02 -.6974E+02   .9999587  .0087817 -.0023223
T  128  1 .8996025E+06   2000075E-02  .5591E+02 -.2475E+01   .9998640  .0164612 -.0010116
T  129  1 .9138796E+06   2000009E-02 -.1807E+02 -.5072E+02   .9999966  .0016964  .0020048
T  130  1 .9105634E+06   2000202E-02  .9120E+02 -.7419E+02   .9998932  .0032888 -.0142375
T  131  1 .9220613E+06   2000106E-02  .1811E+03  .3377E+03   .9942655  .0522347  .0933151
T  132  1 .9124025E+06   2000216E-02  .3029E+03  .8115E+03   .9976840  .0314030  .0603370
T  133  1 .9123791E+06   2000237E-02  .9956E+02  .1855E+03   .9997900  .0156211  .0132635
T  134  1 .9064789E+06   2000214E-02 -.7751E+02 -.9623E+02   .9990544 -.0191307 -.0390424
T  135  1 .9174209E+06   2000078E-02  .3865E+01 -.7140E+02   .9999166  .0025015 -.0126698
T  136  1 .9179084E+06   2000051E-02 -.1022E+03  .2317E+02   .9998830 -.0144399  .0050435
T  137  1 .9072038E+06   2000207E-02 -.3606E+02  .1021E+03   .9999053 -.0011252  .0137162
T  138  1 .9214401E+06   2000096E-02  .1701E+02  .2829E+03   .9996701 -.0038376  .0253942
T  139  1 .9008291E+06   2000218E-02 -.4192E+02  .7363E+02   .9999222 -.0120821 -.0031161
T  140  1 .9105438E+06   2000224E-02 -.5538E+02  .5602E+02   .9999676 -.0078691 -.0017094
T  141  1 .9079954E+06   2000189E-02  .1317E+02  .1287E+02   .9999986 -.0007826 -.0014755
T  142  1 .9123350E+06   2000226E-02  .1427E+03  .6796E+02   .9997990  .0192714 -.0055296
T  143  1 .9010162E+06   2000176E-02 -.5575E+02  .3786E+02   .9999654 -.0041040  .0072380
T  144  1 .9216214E+06   2000216E-02 -.5148E+02  .1658E+02   .9999967 -.0013534  .0021716
T  145  1 .9117891E+06   2000224E-02  .5003E+02  .4813E+02   .9998728  .0147165 -.0061491
T  146  1 .9063898E+06   2000194E-02 -.7721E+02  .5681E+02   .9999596  .0047062  .0076555
T  147  1 .9145632E+06   2000053E-02  .8857E+02 -.1524E+02   .9999685  .0001030 -.0079380
T  148  1 .9132123E+06   2000130E-02 -.5864E+02 -.3593E+02   .9999458 -.0099066  .0032113
T  149  1 .9101902E+06   2000005E-02 -.1150E+03 -.5071E+02   .9999381  .0037203  .0104884
T  150  1 .9069569E+06   2000198E-02 -.9033E+02 -.3312E+02   .9999598 -.0089263 -.0008576
T  151  1 .9026056E+06   2000216E-02 -.1472E+03  .9905E+02   .9995126 -.0215385  .0225964
T  152  1 .9115265E+06   2000167E-02 -.1248E+02  .6951E+02   .9999873  .0038889  .0032032
T  153  1 .9155333E+06   2000173E-02 -.1215E+03 -.2912E+02   .9999660 -.0081515 -.0012732
T  154  1 .9121540E+06   2000159E-02 -.5901E+02 -.6335E+02   .9999972 -.0003747 -.0023387
T  155  1 .9075778E+06   2000222E-02 -.3674E+02 -.2126E+03   .9997684  .0081912 -.0199023
T  156  1 .9072653E+06   2000178E-02 -.2797E+03 -.9010E+02   .9994179 -.0335507 -.0061894
T  157  1 .9091727E+06   2000202E-02 -.3317E+02  .1819E+02   .9998875 -.0048348  .0141980
T  158  1 .9091107E+06   2000000E-02  .8034E+02 -.4456E+02   .9999084  .0099362 -.0091914
T  159  1 .9076726E+06   2000227E-02  .1323E+03 -.7476E+02   .9998395  .0115211 -.0137173
T  160  1 .9089078E+06   2000131E-02 -.1607E+02  .2247E+03   .9986285 -.0392289  .0346739
T  161  1 .9078350E+06   2000053E-02  .1462E+03  .6988E+02   .9998291  .0103951  .0152883
T  162  1 .9124240E+06   2000222E-02 -.4126E+02 -.1583E+03   .9994293 -.0124099 -.0314164
T  163  1 .9093181E+06   2000083E-02  .1350E+03 -.1492E+03   .9998081  .0171267 -.0095132
T  164  1 .9028129E+06   2000003E-02  .3410E+02  .3857E+02   .9999647 -.0076924  .0033718
T  165  1 .9189098E+06   2000139E-02  .1975E+03  .8070E+02   .9995230  .0308643 -.0010781
T  166  1 .9064955E+06   2000203E-02 -.1190E+03  .1285E+03   .9997707 -.0152876  .0149945
