,"Energy, MeV","IFlux, cm-2"
22,0.1288600177604141,1270018323178205.2
23,0.1303537588802968,1242236948250082.0
24,0.13186481539848544,1214753001826545.0
25,0.13339338803451198,1187570316259777.0
26,0.13493967983464267,1160692607372910.5
27,0.13650389619884945,1134123471068549.8
28,0.138086244908094,1107866380003098.2
29,0.13968693615192823,1081924680332728.6
30,0.1413061825564144,1056304675317132.5
31,0.14294419921236906,1031007103759286.0
32,0.1446012037039346,1006034168596895.6
33,0.1462774161374817,981388678377115.2
34,0.1479730591708468,957073300134278.0
35,0.14968835804290886,933090556682768.1
36,0.15142354060350846,909441704784648.1
37,0.1531788373437141,886129893833833.4
38,0.1549544814264392,863157449789677.9
39,0.1567507087174142,840526293276332.2
40,0.1585677578165172,818238188902075.5
41,0.1604058700894685,796295448024858.2
42,0.1622652896998918,774701312926617.5
43,0.1641462636417476,753454566672312.8
44,0.16604904177214228,732556331072454.0
45,0.16797387684451778,712007563580490.0
46,0.16992102454222552,691809056092198.8
47,0.17189074351249017,671961433910707.6
48,0.1738832954007664,652465154881042.0
49,0.1758989448854946,633320508698179.2
50,0.17793795971325882,614527616392066.8
51,0.180000610734353,596086430772716.2
52,0.18208717193875865,577999381061616.8
53,0.18419792049254038,560263432385375.4
54,0.18633313677466265,542878029146376.8
55,0.18849310441423373,525842447261734.56
56,0.19067811032818124,509155794770822.1
57,0.1928884447593646,492817012637136.56
58,0.19512440131512876,476824875745790.75
59,0.1973862770063057,461177994097340.7
60,0.19967437228666707,445874814198602.6
61,0.20198899109283486,435275757751285.25
62,0.20433044088465444,425520530172679.1
63,0.20669903268603584,415875698471930.06
64,0.20909508112626787,406342538707320.44
65,0.211518904481812,396922282023550.2
66,0.21397082471857992,387616113491856.56
67,0.21645116753470167,378425170978820.5
68,0.21896026240378938,369350544045919.0
69,0.22149844261870263,360394589013802.06
70,0.2240660453358208,351557897373636.56
71,0.22666341161982925,342840488481425.9
72,0.22929088648902377,334243247963809.94
73,0.23194881896114108,325767008164670.4
74,0.23463756209972012,317412547271286.4
75,0.23735747306100094,309180588485184.94
76,0.24010891314136687,301071799239646.7
77,0.24289224782533736,293086790465681.56
78,0.24570784683411628,285226115908372.8
79,0.2485560841747037,277490271495368.38
80,0.2514373381895766,269880873175830.22
81,0.25435199160694566,262398310848941.28
82,0.25730043159159444,255041712430448.06
83,0.2602830497963081,247811336941865.8
84,0.2633002424138981,240707383264019.97
85,0.26635241022982986,233729989853079.9
86,0.269439958675461,226879234519650.25
87,0.2725632978818962,220155134272164.88
88,0.27572284273446646,213557645225765.25
89,0.2789190129278401,207086662577702.06
90,0.2821522330217722,200743520316660.5
91,0.2854229324975008,194527249062032.0
92,0.28873154581479615,188436803684003.0
93,0.2920785124696724,182471836422646.7
94,0.2954642770527668,176631939498144.6
95,0.29888928930839703,170916645501670.7
96,0.302354004194302,165325593291521.8
97,0.3058588819420759,159858099281241.72
98,0.30940438811830256,154513439797252.6
99,0.3129909936863986,149290914552402.22
100,0.3166191750691732,144189766652297.16
101,0.3202894142121129,139209340474982.9
